1	Chugush	900040182	38585482118	461051
2	Единств	612899567	64826135341	90554149
3	133tz	562784650	9697900125	9886173
4	Balrog T	352346025	31414930920	10201280
5	MR  DEATH	303850270	25900158394	8926041
6	skywraith	270242822	8627429489	22329086
7	VeloX	261668787	26007279473	80000
8	CRx StalinIV	259331849	11224046300	7345835
9	Lastangel001	255577256	18452614647	8676112
10	Colt Canon	250032161	12161032844	525137
11	Shebeastinem	237519857	42190177980	241771
12	TikiCat	235268585	8442740338	1320316
13	ZVYAG	232309480	16300586991	8229878
14	Anew27	231911282	13073716534	425910
15	IMPACT	224426240	10504185639	4475006
16	Nordic Oak	222716456	13584256299	15131565
17	Kral38	216876570	7820660685	64436097
18	Frozen	216553038	2157047974	16073794
19	MONSTER DONG	216551409	25440727801	9273624
20	DANIEL SHEHU	213238091	22128347486	14907202
21	KenAROK	211529635	6927423256	64246190
22	Belka	211488271	9816674831	33800
23	Phá Quân	208221825	1928105538	77157491
24	Be3yhunk	206187492	4339400450	26200158
25	Cookies	204942121	20652913470	377300
26	DEATH INC	204780332	12903470792	10765102
27	Mossad 007	203029352	2848803768	63871234
28	MILFnCookies	202974516	5443362361	4646539
29	Falcon	200488736	3384230174	6906020
30	Kumiho	199407286	5860157515	8338930
31	FLAMES	198942595	2527385615	17036454
32	CoolFarm	198753455	5557696250	6781844
33	Tieu Tam Sinh	196227421	6426595934	5122598
34	Reggard	195612695	5896901882	8145267
35	TOM DU	194024614	4427309708	5424704
36	Viktorvad	193894523	7007199574	5136546
37	Jiren	193557380	4536829692	17828761
38	Axe HongTrang	193281369	3280535461	8210737
39	SLOW DEATH	193203337	3780387757	551126
40	GoJoeGo	191573699	7702213527	8821375
41	MarceLo	190808067	3406296557	10546289
42	Pisos	189431056	6094766014	6550595
43	Phong Anh Kiet	188217002	2042948628	402782
44	K25	187647292	2288817971	25164651
45	ОлежикА5	186424612	3391182986	8608529
46	FalconN	185940972	2325561850	379821
47	Urethral Queef	185803495	13264479820	5417348
48	Grace	184109912	1976765778	15442358
